temple,date,day_of_week,is_weekend,month,is_monsoon,time_slot,festival_multiplier,days_to_nearest_festival,footfall
Pavagadh,2022-01-03,0,0,1,0,Morning 6-9,1.0,89,1000
Pavagadh,2022-01-03,0,0,1,0,Afternoon 10-1,1.0,89,1518
Pavagadh,2022-01-03,0,0,1,0,Evening 4-7,1.0,89,1902
Pavagadh,2022-01-03,0,0,1,0,Night 8-11,1.0,89,847
Somnath,2022-01-04,1,0,1,0,Morning 6-9,1.0,56,732
Somnath,2022-01-04,1,0,1,0,Afternoon 10-1,1.0,56,988
Somnath,2022-01-04,1,0,1,0,Evening 4-7,1.0,56,1335
Somnath,2022-01-04,1,0,1,0,Night 8-11,1.0,56,544
Dwarka,2022-01-04,1,0,1,0,Morning 6-9,1.0,73,868
Dwarka,2022-01-04,1,0,1,0,Afternoon 10-1,1.0,73,1345
Dwarka,2022-01-04,1,0,1,0,Evening 4-7,1.0,73,1695
Dwarka,2022-01-04,1,0,1,0,Night 8-11,1.0,73,708
Ambaji,2022-01-04,1,0,1,0,Morning 6-9,1.0,88,616
Ambaji,2022-01-04,1,0,1,0,Afternoon 10-1,1.0,88,926
Ambaji,2022-01-04,1,0,1,0,Evening 4-7,1.0,88,1178
Ambaji,2022-01-04,1,0,1,0,Night 8-11,1.0,88,507
Pavagadh,2022-01-04,1,0,1,0,Morning 6-9,1.0,88,1042
Pavagadh,2022-01-04,1,0,1,0,Afternoon 10-1,1.0,88,1551
Pavagadh,2022-01-04,1,0,1,0,Evening 4-7,1.0,88,1852
Pavagadh,2022-01-04,1,0,1,0,Night 8-11,1.0,88,774
Somnath,2022-01-05,2,0,1,0,Morning 6-9,1.0,55,746
Somnath,2022-01-05,2,0,1,0,Afternoon 10-1,1.0,55,1120
Somnath,2022-01-05,2,0,1,0,Evening 4-7,1.0,55,1314
Somnath,2022-01-05,2,0,1,0,Night 8-11,1.0,55,575
Dwarka,2022-01-05,2,0,1,0,Morning 6-9,1.0,72,905
Dwarka,2022-01-05,2,0,1,0,Afternoon 10-1,1.0,72,1279
Dwarka,2022-01-05,2,0,1,0,Evening 4-7,1.0,72,1651
Dwarka,2022-01-05,2,0,1,0,Night 8-11,1.0,72,724
Ambaji,2022-01-05,2,0,1,0,Morning 6-9,1.0,87,637
Ambaji,2022-01-05,2,0,1,0,Afternoon 10-1,1.0,87,996
Ambaji,2022-01-05,2,0,1,0,Evening 4-7,1.0,87,1041
Ambaji,2022-01-05,2,0,1,0,Night 8-11,1.0,87,504
Pavagadh,2022-01-05,2,0,1,0,Morning 6-9,1.0,87,1066
Pavagadh,2022-01-05,2,0,1,0,Afternoon 10-1,1.0,87,1544
Pavagadh,2022-01-05,2,0,1,0,Evening 4-7,1.0,87,1945
Pavagadh,2022-01-05,2,0,1,0,Night 8-11,1.0,87,748
Somnath,2022-01-06,3,0,1,0,Morning 6-9,1.0,54,716
Somnath,2022-01-06,3,0,1,0,Afternoon 10-1,1.0,54,1078
Somnath,2022-01-06,3,0,1,0,Evening 4-7,1.0,54,1395
Somnath,2022-01-06,3,0,1,0,Night 8-11,1.0,54,541
Dwarka,2022-01-06,3,0,1,0,Morning 6-9,1.0,71,864
Dwarka,2022-01-06,3,0,1,0,Afternoon 10-1,1.0,71,1286
Dwarka,2022-01-06,3,0,1,0,Evening 4-7,1.0,71,1687
Dwarka,2022-01-06,3,0,1,0,Night 8-11,1.0,71,691
Ambaji,2022-01-06,3,0,1,0,Morning 6-9,1.0,86,624
Ambaji,2022-01-06,3,0,1,0,Afternoon 10-1,1.0,86,957
Ambaji,2022-01-06,3,0,1,0,Evening 4-7,1.0,86,1167
Ambaji,2022-01-06,3,0,1,0,Night 8-11,1.0,86,506
Pavagadh,2022-01-06,3,0,1,0,Morning 6-9,1.0,86,1033
Pavagadh,2022-01-06,3,0,1,0,Afternoon 10-1,1.0,86,1542
Pavagadh,2022-01-06,3,0,1,0,Evening 4-7,1.0,86,1907
Pavagadh,2022-01-06,3,0,1,0,Night 8-11,1.0,86,765
Somnath,2022-01-07,4,0,1,0,Morning 6-9,1.0,53,731
Somnath,2022-01-07,4,0,1,0,Afternoon 10-1,1.0,53,1074
Somnath,2022-01-07,4,0,1,0,Evening 4-7,1.0,53,1318
Somnath,2022-01-07,4,0,1,0,Night 8-11,1.0,53,547
Dwarka,2022-01-07,4,0,1,0,Morning 6-9,1.0,70,842
Dwarka,2022-01-07,4,0,1,0,Afternoon 10-1,1.0,70,1290
Dwarka,2022-01-07,4,0,1,0,Evening 4-7,1.0,70,1605
Dwarka,2022-01-07,4,0,1,0,Night 8-11,1.0,70,661
Ambaji,2022-01-07,4,0,1,0,Morning 6-9,1.0,85,633
Ambaji,2022-01-07,4,0,1,0,Afternoon 10-1,1.0,85,953
Ambaji,2022-01-07,4,0,1,0,Evening 4-7,1.0,85,1250
Ambaji,2022-01-07,4,0,1,0,Night 8-11,1.0,85,491
Pavagadh,2022-01-07,4,0,1,0,Morning 6-9,1.0,85,1073
Pavagadh,2022-01-07,4,0,1,0,Afternoon 10-1,1.0,85,1558
Pavagadh,2022-01-07,4,0,1,0,Evening 4-7,1.0,85,1789
Pavagadh,2022-01-07,4,0,1,0,Night 8-11,1.0,85,812
Somnath,2022-01-08,5,1,1,0,Morning 6-9,1.0,52,999
Somnath,2022-01-08,5,1,1,0,Afternoon 10-1,1.0,52,1611
Somnath,2022-01-08,5,1,1,0,Evening 4-7,1.0,52,1804
Somnath,2022-01-08,5,1,1,0,Night 8-11,1.0,52,772
Dwarka,2022-01-08,5,1,1,0,Morning 6-9,1.0,69,1230
Dwarka,2022-01-08,5,1,1,0,Afternoon 10-1,1.0,69,1727
Dwarka,2022-01-08,5,1,1,0,Evening 4-7,1.0,69,2349
Dwarka,2022-01-08,5,1,1,0,Night 8-11,1.0,69,970
Ambaji,2022-01-08,5,1,1,0,Morning 6-9,1.0,84,908
Ambaji,2022-01-08,5,1,1,0,Afternoon 10-1,1.0,84,1247
Ambaji,2022-01-08,5,1,1,0,Evening 4-7,1.0,84,1694
Ambaji,2022-01-08,5,1,1,0,Night 8-11,1.0,84,635
Pavagadh,2022-01-08,5,1,1,0,Morning 6-9,1.0,84,1501
Pavagadh,2022-01-08,5,1,1,0,Afternoon 10-1,1.0,84,2345
Pavagadh,2022-01-08,5,1,1,0,Evening 4-7,1.0,84,2568
Pavagadh,2022-01-08,5,1,1,0,Night 8-11,1.0,84,1096
Somnath,2022-01-09,6,1,1,0,Morning 6-9,1.0,51,1001
Somnath,2022-01-09,6,1,1,0,Afternoon 10-1,1.0,51,1437
Somnath,2022-01-09,6,1,1,0,Evening 4-7,1.0,51,1705
Somnath,2022-01-09,6,1,1,0,Night 8-11,1.0,51,765
Dwarka,2022-01-09,6,1,1,0,Morning 6-9,1.0,68,1179
Dwarka,2022-01-09,6,1,1,0,Afternoon 10-1,1.0,68,1846
Dwarka,2022-01-09,6,1,1,0,Evening 4-7,1.0,68,2163
Dwarka,2022-01-09,6,1,1,0,Night 8-11,1.0,68,1000
Ambaji,2022-01-09,6,1,1,0,Morning 6-9,1.0,83,852
Ambaji,2022-01-09,6,1,1,0,Afternoon 10-1,1.0,83,1277
Ambaji,2022-01-09,6,1,1,0,Evening 4-7,1.0,83,1656
Ambaji,2022-01-09,6,1,1,0,Night 8-11,1.0,83,640
Pavagadh,2022-01-09,6,1,1,0,Morning 6-9,1.9,83,2811
Pavagadh,2022-01-09,6,1,1,0,Afternoon 10-1,1.9,83,4311
Pavagadh,2022-01-09,6,1,1,0,Evening 4-7,1.9,83,4753
Pavagadh,2022-01-09,6,1,1,0,Night 8-11,1.9,83,2146
Somnath,2022-01-10,0,0,1,0,Morning 6-9,1.0,50,730
Somnath,2022-01-10,0,0,1,0,Afternoon 10-1,1.0,50,1096
Somnath,2022-01-10,0,0,1,0,Evening 4-7,1.0,50,1252
Somnath,2022-01-10,0,0,1,0,Night 8-11,1.0,50,523
Dwarka,2022-01-10,0,0,1,0,Morning 6-9,1.0,67,911
Dwarka,2022-01-10,0,0,1,0,Afternoon 10-1,1.0,67,1328
Dwarka,2022-01-10,0,0,1,0,Evening 4-7,1.0,67,1644
Dwarka,2022-01-10,0,0,1,0,Night 8-11,1.0,67,692
Ambaji,2022-01-10,0,0,1,0,Morning 6-9,1.0,82,620
Ambaji,2022-01-10,0,0,1,0,Afternoon 10-1,1.0,82,946
Ambaji,2022-01-10,0,0,1,0,Evening 4-7,1.0,82,1176
Ambaji,2022-01-10,0,0,1,0,Night 8-11,1.0,82,474
Pavagadh,2022-01-10,0,0,1,0,Morning 6-9,1.0,82,1142
Pavagadh,2022-01-10,0,0,1,0,Afternoon 10-1,1.0,82,1592
Pavagadh,2022-01-10,0,0,1,0,Evening 4-7,1.0,82,1845
Pavagadh,2022-01-10,0,0,1,0,Night 8-11,1.0,82,834
Somnath,2022-01-11,1,0,1,0,Morning 6-9,1.0,49,694
Somnath,2022-01-11,1,0,1,0,Afternoon 10-1,1.0,49,1096
Somnath,2022-01-11,1,0,1,0,Evening 4-7,1.0,49,1379
Somnath,2022-01-11,1,0,1,0,Night 8-11,1.0,49,534
Dwarka,2022-01-11,1,0,1,0,Morning 6-9,1.0,66,927
Dwarka,2022-01-11,1,0,1,0,Afternoon 10-1,1.0,66,1334
Dwarka,2022-01-11,1,0,1,0,Evening 4-7,1.0,66,1681
Dwarka,2022-01-11,1,0,1,0,Night 8-11,1.0,66,734
Ambaji,2022-01-11,1,0,1,0,Morning 6-9,1.0,81,631
Ambaji,2022-01-11,1,0,1,0,Afternoon 10-1,1.0,81,909
Ambaji,2022-01-11,1,0,1,0,Evening 4-7,1.0,81,1121
Ambaji,2022-01-11,1,0,1,0,Night 8-11,1.0,81,472
Pavagadh,2022-01-11,1,0,1,0,Morning 6-9,1.0,81,1059
Pavagadh,2022-01-11,1,0,1,0,Afternoon 10-1,1.0,81,1584
Pavagadh,2022-01-11,1,0,1,0,Evening 4-7,1.0,81,1959
Pavagadh,2022-01-11,1,0,1,0,Night 8-11,1.0,81,839
Somnath,2022-01-12,2,0,1,0,Morning 6-9,1.0,48,723
Somnath,2022-01-12,2,0,1,0,Afternoon 10-1,1.0,48,1124
Somnath,2022-01-12,2,0,1,0,Evening 4-7,1.0,48,1304
Somnath,2022-01-12,2,0,1,0,Night 8-11,1.0,48,613
Dwarka,2022-01-12,2,0,1,0,Morning 6-9,1.0,65,915
Dwarka,2022-01-12,2,0,1,0,Afternoon 10-1,1.0,65,1267
Dwarka,2022-01-12,2,0,1,0,Evening 4-7,1.0,65,1558
Dwarka,2022-01-12,2,0,1,0,Night 8-11,1.0,65,696
Ambaji,2022-01-12,2,0,1,0,Morning 6-9,1.0,80,632
Ambaji,2022-01-12,2,0,1,0,Afternoon 10-1,1.0,80,964
Ambaji,2022-01-12,2,0,1,0,Evening 4-7,1.0,80,1185
Ambaji,2022-01-12,2,0,1,0,Night 8-11,1.0,80,486
Pavagadh,2022-01-12,2,0,1,0,Morning 6-9,1.0,80,1027
Pavagadh,2022-01-12,2,0,1,0,Afternoon 10-1,1.0,80,1468
Pavagadh,2022-01-12,2,0,1,0,Evening 4-7,1.0,80,1903
Pavagadh,2022-01-12,2,0,1,0,Night 8-11,1.0,80,840
Somnath,2022-01-13,3,0,1,0,Morning 6-9,1.0,47,729
Somnath,2022-01-13,3,0,1,0,Afternoon 10-1,1.0,47,1010
Somnath,2022-01-13,3,0,1,0,Evening 4-7,1.0,47,1327
Somnath,2022-01-13,3,0,1,0,Night 8-11,1.0,47,561
Dwarka,2022-01-13,3,0,1,0,Morning 6-9,1.0,64,861
Dwarka,2022-01-13,3,0,1,0,Afternoon 10-1,1.0,64,1321
Dwarka,2022-01-13,3,0,1,0,Evening 4-7,1.0,64,1631
Dwarka,2022-01-13,3,0,1,0,Night 8-11,1.0,64,651
Ambaji,2022-01-13,3,0,1,0,Morning 6-9,1.0,79,647
Ambaji,2022-01-13,3,0,1,0,Afternoon 10-1,1.0,79,959
Ambaji,2022-01-13,3,0,1,0,Evening 4-7,1.0,79,1213
Ambaji,2022-01-13,3,0,1,0,Night 8-11,1.0,79,508
Pavagadh,2022-01-13,3,0,1,0,Morning 6-9,1.0,79,1004
Pavagadh,2022-01-13,3,0,1,0,Afternoon 10-1,1.0,79,1504
Pavagadh,2022-01-13,3,0,1,0,Evening 4-7,1.0,79,1977
Pavagadh,2022-01-13,3,0,1,0,Night 8-11,1.0,79,829
Somnath,2022-01-14,4,0,1,0,Morning 6-9,1.0,46,737
Somnath,2022-01-14,4,0,1,0,Afternoon 10-1,1.0,46,1226
Somnath,2022-01-14,4,0,1,0,Evening 4-7,1.0,46,1348
Somnath,2022-01-14,4,0,1,0,Night 8-11,1.0,46,578
Dwarka,2022-01-14,4,0,1,0,Morning 6-9,1.0,63,927
Dwarka,2022-01-14,4,0,1,0,Afternoon 10-1,1.0,63,1347
Dwarka,2022-01-14,4,0,1,0,Evening 4-7,1.0,63,1607
Dwarka,2022-01-14,4,0,1,0,Night 8-11,1.0,63,703
Ambaji,2022-01-14,4,0,1,0,Morning 6-9,1.0,78,618
Ambaji,2022-01-14,4,0,1,0,Afternoon 10-1,1.0,78,929
Ambaji,2022-01-14,4,0,1,0,Evening 4-7,1.0,78,1140
Ambaji,2022-01-14,4,0,1,0,Night 8-11,1.0,78,489
Pavagadh,2022-01-14,4,0,1,0,Morning 6-9,1.0,78,1161
Pavagadh,2022-01-14,4,0,1,0,Afternoon 10-1,1.0,78,1446
Pavagadh,2022-01-14,4,0,1,0,Evening 4-7,1.0,78,1991
Pavagadh,2022-01-14,4,0,1,0,Night 8-11,1.0,78,760
Somnath,2022-01-15,5,1,1,0,Morning 6-9,1.0,45,978
Somnath,2022-01-15,5,1,1,0,Afternoon 10-1,1.0,45,1530
Somnath,2022-01-15,5,1,1,0,Evening 4-7,1.0,45,1823
Somnath,2022-01-15,5,1,1,0,Night 8-11,1.0,45,730
Dwarka,2022-01-15,5,1,1,0,Morning 6-9,1.0,62,1196
Dwarka,2022-01-15,5,1,1,0,Afternoon 10-1,1.0,62,1860
Dwarka,2022-01-15,5,1,1,0,Evening 4-7,1.0,62,2180
Dwarka,2022-01-15,5,1,1,0,Night 8-11,1.0,62,950
Ambaji,2022-01-15,5,1,1,0,Morning 6-9,1.0,77,881
Ambaji,2022-01-15,5,1,1,0,Afternoon 10-1,1.0,77,1260
Ambaji,2022-01-15,5,1,1,0,Evening 4-7,1.0,77,1742
Ambaji,2022-01-15,5,1,1,0,Night 8-11,1.0,77,690
Pavagadh,2022-01-15,5,1,1,0,Morning 6-9,1.0,77,1347
Pavagadh,2022-01-15,5,1,1,0,Afternoon 10-1,1.0,77,2172
Pavagadh,2022-01-15,5,1,1,0,Evening 4-7,1.0,77,2603
Pavagadh,2022-01-15,5,1,1,0,Night 8-11,1.0,77,1159
Somnath,2022-01-16,6,1,1,0,Morning 6-9,1.0,44,965
Somnath,2022-01-16,6,1,1,0,Afternoon 10-1,1.0,44,1460
Somnath,2022-01-16,6,1,1,0,Evening 4-7,1.0,44,1855
Somnath,2022-01-16,6,1,1,0,Night 8-11,1.0,44,789
Dwarka,2022-01-16,6,1,1,0,Morning 6-9,1.0,61,1173
Dwarka,2022-01-16,6,1,1,0,Afternoon 10-1,1.0,61,1787
Dwarka,2022-01-16,6,1,1,0,Evening 4-7,1.0,61,2203
Dwarka,2022-01-16,6,1,1,0,Night 8-11,1.0,61,917
Ambaji,2022-01-16,6,1,1,0,Morning 6-9,1.0,76,942
Ambaji,2022-01-16,6,1,1,0,Afternoon 10-1,1.0,76,1315
Ambaji,2022-01-16,6,1,1,0,Evening 4-7,1.0,76,1523
Ambaji,2022-01-16,6,1,1,0,Night 8-11,1.0,76,697
Pavagadh,2022-01-16,6,1,1,0,Morning 6-9,1.9,76,3022
Pavagadh,2022-01-16,6,1,1,0,Afternoon 10-1,1.9,76,4266
Pavagadh,2022-01-16,6,1,1,0,Evening 4-7,1.9,76,4771
Pavagadh,2022-01-16,6,1,1,0,Night 8-11,1.9,76,2089
Somnath,2022-01-17,0,0,1,0,Morning 6-9,1.0,43,759
Somnath,2022-01-17,0,0,1,0,Afternoon 10-1,1.0,43,1032
Somnath,2022-01-17,0,0,1,0,Evening 4-7,1.0,43,1341
Somnath,2022-01-17,0,0,1,0,Night 8-11,1.0,43,570
Dwarka,2022-01-17,0,0,1,0,Morning 6-9,1.0,60,859
Dwarka,2022-01-17,0,0,1,0,Afternoon 10-1,1.0,60,1309
Dwarka,2022-01-17,0,0,1,0,Evening 4-7,1.0,60,1416
Dwarka,2022-01-17,0,0,1,0,Night 8-11,1.0,60,655
Ambaji,2022-01-17,0,0,1,0,Morning 6-9,1.0,75,631
Ambaji,2022-01-17,0,0,1,0,Afternoon 10-1,1.0,75,891
Ambaji,2022-01-17,0,0,1,0,Evening 4-7,1.0,75,1238
Ambaji,2022-01-17,0,0,1,0,Night 8-11,1.0,75,460
Pavagadh,2022-01-17,0,0,1,0,Morning 6-9,1.0,75,1044
Pavagadh,2022-01-17,0,0,1,0,Afternoon 10-1,1.0,75,1571
Pavagadh,2022-01-17,0,0,1,0,Evening 4-7,1.0,75,2049
Pavagadh,2022-01-17,0,0,1,0,Night 8-11,1.0,75,766
Somnath,2022-01-18,1,0,1,0,Morning 6-9,1.0,42,756
Somnath,2022-01-18,1,0,1,0,Afternoon 10-1,1.0,42,1063
Somnath,2022-01-18,1,0,1,0,Evening 4-7,1.0,42,1266
Somnath,2022-01-18,1,0,1,0,Night 8-11,1.0,42,563
Dwarka,2022-01-18,1,0,1,0,Morning 6-9,1.0,59,900
Dwarka,2022-01-18,1,0,1,0,Afternoon 10-1,1.0,59,1281
Dwarka,2022-01-18,1,0,1,0,Evening 4-7,1.0,59,1632
Dwarka,2022-01-18,1,0,1,0,Night 8-11,1.0,59,672
Ambaji,2022-01-18,1,0,1,0,Morning 6-9,1.0,74,640
Ambaji,2022-01-18,1,0,1,0,Afternoon 10-1,1.0,74,962
Ambaji,2022-01-18,1,0,1,0,Evening 4-7,1.0,74,1236
Ambaji,2022-01-18,1,0,1,0,Night 8-11,1.0,74,463
Pavagadh,2022-01-18,1,0,1,0,Morning 6-9,1.0,74,1153
Pavagadh,2022-01-18,1,0,1,0,Afternoon 10-1,1.0,74,1440
Pavagadh,2022-01-18,1,0,1,0,Evening 4-7,1.0,74,1926
Pavagadh,2022-01-18,1,0,1,0,Night 8-11,1.0,74,832
Somnath,2022-01-19,2,0,1,0,Morning 6-9,1.0,41,731
Somnath,2022-01-19,2,0,1,0,Afternoon 10-1,1.0,41,1036
Somnath,2022-01-19,2,0,1,0,Evening 4-7,1.0,41,1307
Somnath,2022-01-19,2,0,1,0,Night 8-11,1.0,41,542
Dwarka,2022-01-19,2,0,1,0,Morning 6-9,1.0,58,871
Dwarka,2022-01-19,2,0,1,0,Afternoon 10-1,1.0,58,1357
Dwarka,2022-01-19,2,0,1,0,Evening 4-7,1.0,58,1651
Dwarka,2022-01-19,2,0,1,0,Night 8-11,1.0,58,664
Ambaji,2022-01-19,2,0,1,0,Morning 6-9,1.0,73,660
Ambaji,2022-01-19,2,0,1,0,Afternoon 10-1,1.0,73,949
Ambaji,2022-01-19,2,0,1,0,Evening 4-7,1.0,73,1200
Ambaji,2022-01-19,2,0,1,0,Night 8-11,1.0,73,500
Pavagadh,2022-01-19,2,0,1,0,Morning 6-9,1.0,73,1027
Pavagadh,2022-01-19,2,0,1,0,Afternoon 10-1,1.0,73,1527
Pavagadh,2022-01-19,2,0,1,0,Evening 4-7,1.0,73,1995
Pavagadh,2022-01-19,2,0,1,0,Night 8-11,1.0,73,832
Somnath,2022-01-20,3,0,1,0,Morning 6-9,1.0,40,722
Somnath,2022-01-20,3,0,1,0,Afternoon 10-1,1.0,40,1067
Somnath,2022-01-20,3,0,1,0,Evening 4-7,1.0,40,1385
Somnath,2022-01-20,3,0,1,0,Night 8-11,1.0,40,539
Dwarka,2022-01-20,3,0,1,0,Morning 6-9,1.0,57,912
Dwarka,2022-01-20,3,0,1,0,Afternoon 10-1,1.0,57,1302
Dwarka,2022-01-20,3,0,1,0,Evening 4-7,1.0,57,1613
Dwarka,2022-01-20,3,0,1,0,Night 8-11,1.0,57,712
Ambaji,2022-01-20,3,0,1,0,Morning 6-9,1.0,72,659
Ambaji,2022-01-20,3,0,1,0,Afternoon 10-1,1.0,72,968
Ambaji,2022-01-20,3,0,1,0,Evening 4-7,1.0,72,1223
Ambaji,2022-01-20,3,0,1,0,Night 8-11,1.0,72,488
Pavagadh,2022-01-20,3,0,1,0,Morning 6-9,1.0,72,1091
Pavagadh,2022-01-20,3,0,1,0,Afternoon 10-1,1.0,72,1543
Pavagadh,2022-01-20,3,0,1,0,Evening 4-7,1.0,72,1963
Pavagadh,2022-01-20,3,0,1,0,Night 8-11,1.0,72,808
Somnath,2022-01-21,4,0,1,0,Morning 6-9,1.0,39,725
Somnath,2022-01-21,4,0,1,0,Afternoon 10-1,1.0,39,1088
Somnath,2022-01-21,4,0,1,0,Evening 4-7,1.0,39,1274
Somnath,2022-01-21,4,0,1,0,Night 8-11,1.0,39,599
Dwarka,2022-01-21,4,0,1,0,Morning 6-9,1.0,56,857
Dwarka,2022-01-21,4,0,1,0,Afternoon 10-1,1.0,56,1249
Dwarka,2022-01-21,4,0,1,0,Evening 4-7,1.0,56,1703
Dwarka,2022-01-21,4,0,1,0,Night 8-11,1.0,56,704
Ambaji,2022-01-21,4,0,1,0,Morning 6-9,1.0,71,653
Ambaji,2022-01-21,4,0,1,0,Afternoon 10-1,1.0,71,961
Ambaji,2022-01-21,4,0,1,0,Evening 4-7,1.0,71,1162
Ambaji,2022-01-21,4,0,1,0,Night 8-11,1.0,71,470
Pavagadh,2022-01-21,4,0,1,0,Morning 6-9,1.0,71,1066
Pavagadh,2022-01-21,4,0,1,0,Afternoon 10-1,1.0,71,1520
Pavagadh,2022-01-21,4,0,1,0,Evening 4-7,1.0,71,2013
Pavagadh,2022-01-21,4,0,1,0,Night 8-11,1.0,71,808
Somnath,2022-01-22,5,1,1,0,Morning 6-9,1.0,38,964
Somnath,2022-01-22,5,1,1,0,Afternoon 10-1,1.0,38,1447
Somnath,2022-01-22,5,1,1,0,Evening 4-7,1.0,38,1848
Somnath,2022-01-22,5,1,1,0,Night 8-11,1.0,38,745
Dwarka,2022-01-22,5,1,1,0,Morning 6-9,1.0,55,1191
Dwarka,2022-01-22,5,1,1,0,Afternoon 10-1,1.0,55,1829
Dwarka,2022-01-22,5,1,1,0,Evening 4-7,1.0,55,2268
Dwarka,2022-01-22,5,1,1,0,Night 8-11,1.0,55,923
Ambaji,2022-01-22,5,1,1,0,Morning 6-9,1.0,70,863
Ambaji,2022-01-22,5,1,1,0,Afternoon 10-1,1.0,70,1306
Ambaji,2022-01-22,5,1,1,0,Evening 4-7,1.0,70,1511
Ambaji,2022-01-22,5,1,1,0,Night 8-11,1.0,70,635
Pavagadh,2022-01-22,5,1,1,0,Morning 6-9,1.0,70,1424
Pavagadh,2022-01-22,5,1,1,0,Afternoon 10-1,1.0,70,2138
Pavagadh,2022-01-22,5,1,1,0,Evening 4-7,1.0,70,2707
Pavagadh,2022-01-22,5,1,1,0,Night 8-11,1.0,70,1187
Somnath,2022-01-23,6,1,1,0,Morning 6-9,1.0,37,1031
Somnath,2022-01-23,6,1,1,0,Afternoon 10-1,1.0,37,1457
Somnath,2022-01-23,6,1,1,0,Evening 4-7,1.0,37,1817
Somnath,2022-01-23,6,1,1,0,Night 8-11,1.0,37,732
Dwarka,2022-01-23,6,1,1,0,Morning 6-9,1.0,54,1231
Dwarka,2022-01-23,6,1,1,0,Afternoon 10-1,1.0,54,1790
Dwarka,2022-01-23,6,1,1,0,Evening 4-7,1.0,54,2275
Dwarka,2022-01-23,6,1,1,0,Night 8-11,1.0,54,911
Ambaji,2022-01-23,6,1,1,0,Morning 6-9,1.0,69,898
Ambaji,2022-01-23,6,1,1,0,Afternoon 10-1,1.0,69,1373
Ambaji,2022-01-23,6,1,1,0,Evening 4-7,1.0,69,1597
Ambaji,2022-01-23,6,1,1,0,Night 8-11,1.0,69,684
Pavagadh,2022-01-23,6,1,1,0,Morning 6-9,1.9,69,2863
Pavagadh,2022-01-23,6,1,1,0,Afternoon 10-1,1.9,69,4031
Pavagadh,2022-01-23,6,1,1,0,Evening 4-7,1.9,69,5126
