date,temple,footfall
2023-02-20,Pavagadh,1701
2023-02-21,Somnath,4762
2023-02-21,Dwarka,3070
2023-02-21,Ambaji,2518
2023-02-21,Pavagadh,1712
2023-02-22,Somnath,5553
2023-02-22,Dwarka,3640
2023-02-22,Ambaji,2935
2023-02-22,Pavagadh,1978
2023-02-23,Somnath,4644
2023-02-23,Dwarka,2942
2023-02-23,Ambaji,2213
2023-02-23,Pavagadh,1609
2023-02-24,Somnath,4702
2023-02-24,Dwarka,2684
2023-02-24,Ambaji,2113
2023-02-24,Pavagadh,1863
2023-02-25,Somnath,6557
2023-02-25,Dwarka,4070
2023-02-25,Ambaji,3324
2023-02-25,Pavagadh,2484
2023-02-26,Somnath,6327
2023-02-26,Dwarka,3837
2023-02-26,Ambaji,3048
2023-02-26,Pavagadh,2903
2023-02-27,Somnath,5357
2023-02-27,Dwarka,3354
2023-02-27,Ambaji,2392
2023-02-27,Pavagadh,2257
2023-02-28,Somnath,5079
2023-02-28,Dwarka,3439
2023-02-28,Ambaji,2311
2023-02-28,Pavagadh,1526
2023-03-01,Somnath,4423
2023-03-01,Dwarka,2617
2023-03-01,Ambaji,2262
2023-03-01,Pavagadh,1685
2023-03-02,Somnath,4843
2023-03-02,Dwarka,2660
2023-03-02,Ambaji,2593
2023-03-02,Pavagadh,2069
2023-03-03,Somnath,5022
2023-03-03,Dwarka,3316
2023-03-03,Ambaji,2420
2023-03-03,Pavagadh,1524
2023-03-04,Somnath,8075
2023-03-04,Dwarka,4750
2023-03-04,Ambaji,3795
2023-03-04,Pavagadh,2990
2023-03-05,Somnath,5627
2023-03-05,Dwarka,3447
2023-03-05,Ambaji,2506
2023-03-05,Pavagadh,1919
2023-03-06,Somnath,4957
2023-03-06,Dwarka,3448
2023-03-06,Ambaji,2425
2023-03-06,Pavagadh,2016
2023-03-07,Somnath,4765
2023-03-07,Dwarka,3012
2023-03-07,Ambaji,2310
2023-03-07,Pavagadh,1730
2023-03-08,Somnath,5106
2023-03-08,Dwarka,2959
2023-03-08,Ambaji,2448
2023-03-08,Pavagadh,1768
2023-03-09,Somnath,4834
2023-03-09,Dwarka,2717
2023-03-09,Ambaji,2808
2023-03-09,Pavagadh,1900
2023-03-10,Somnath,4314
2023-03-10,Dwarka,2429
2023-03-10,Ambaji,1944
2023-03-10,Pavagadh,1616
2023-03-11,Somnath,6281
2023-03-11,Dwarka,3886
2023-03-11,Ambaji,2891
2023-03-11,Pavagadh,2627
2023-03-12,Somnath,6268
2023-03-12,Dwarka,3884
2023-03-12,Ambaji,3348
2023-03-12,Pavagadh,2135
2023-03-13,Somnath,4607
2023-03-13,Dwarka,2676
2023-03-13,Ambaji,1615
2023-03-13,Pavagadh,1595
2023-03-14,Somnath,4556
2023-03-14,Dwarka,3047
2023-03-14,Ambaji,2398
2023-03-14,Pavagadh,1477
2023-03-15,Somnath,5761
2023-03-15,Dwarka,3101
2023-03-15,Ambaji,2690
2023-03-15,Pavagadh,2228
2023-03-16,Somnath,4435
2023-03-16,Dwarka,3002
2023-03-16,Ambaji,2281
2023-03-16,Pavagadh,1593
2023-03-17,Somnath,4688
2023-03-17,Dwarka,2919
2023-03-17,Ambaji,2306
2023-03-17,Pavagadh,1842
2023-03-18,Somnath,6047
2023-03-18,Dwarka,3672
2023-03-18,Ambaji,2853
2023-03-18,Pavagadh,2351
2023-03-19,Somnath,6591
2023-03-19,Dwarka,4505
2023-03-19,Ambaji,3259
2023-03-19,Pavagadh,2679
2023-03-20,Somnath,5246
2023-03-20,Dwarka,2731
2023-03-20,Ambaji,2291
2023-03-20,Pavagadh,1779
2023-03-21,Somnath,4335
2023-03-21,Dwarka,2544
2023-03-21,Ambaji,1861
2023-03-21,Pavagadh,1800
2023-03-22,Somnath,4665
2023-03-22,Dwarka,3048
2023-03-22,Ambaji,2378
2023-03-22,Pavagadh,1879
2023-03-23,Somnath,4740
2023-03-23,Dwarka,3037
2023-03-23,Ambaji,2533
2023-03-23,Pavagadh,1903
2023-03-24,Somnath,5264
2023-03-24,Dwarka,3233
2023-03-24,Ambaji,2834
2023-03-24,Pavagadh,1939
2023-03-25,Somnath,7522
2023-03-25,Dwarka,4983
2023-03-25,Ambaji,3712
2023-03-25,Pavagadh,3058
2023-03-26,Somnath,6005
2023-03-26,Dwarka,3719
2023-03-26,Ambaji,3072
2023-03-26,Pavagadh,2315
2023-03-27,Somnath,4121
2023-03-27,Dwarka,2716
2023-03-27,Ambaji,2211
2023-03-27,Pavagadh,1771
2023-03-28,Somnath,5160
2023-03-28,Dwarka,3224
2023-03-28,Ambaji,2557
2023-03-28,Pavagadh,2113
2023-03-29,Somnath,4620
2023-03-29,Dwarka,2437
2023-03-29,Ambaji,2193
2023-03-29,Pavagadh,1755
2023-03-30,Somnath,4339
2023-03-30,Dwarka,2788
2023-03-30,Ambaji,1892
2023-03-30,Pavagadh,1486
2023-03-31,Somnath,3896
2023-03-31,Dwarka,2926
2023-03-31,Ambaji,2149
2023-03-31,Pavagadh,1656
2023-04-01,Somnath,7675
2023-04-01,Dwarka,5117
2023-04-01,Ambaji,3636
2023-04-01,Pavagadh,2814
2023-04-02,Somnath,6226
2023-04-02,Dwarka,3600
2023-04-02,Ambaji,2826
2023-04-02,Pavagadh,2046
2023-04-03,Somnath,5205
2023-04-03,Dwarka,3483
2023-04-03,Ambaji,2415
2023-04-03,Pavagadh,1720
2023-04-04,Somnath,4260
2023-04-04,Dwarka,2473
2023-04-04,Ambaji,2571
2023-04-04,Pavagadh,1411
2023-04-05,Somnath,4755
2023-04-05,Dwarka,3168
2023-04-05,Ambaji,2070
2023-04-05,Pavagadh,1426
2023-04-06,Somnath,4721
2023-04-06,Dwarka,2997
2023-04-06,Ambaji,2581
2023-04-06,Pavagadh,1748
2023-04-07,Somnath,4860
2023-04-07,Dwarka,2941
2023-04-07,Ambaji,2603
2023-04-07,Pavagadh,1727
2023-04-08,Somnath,7013
2023-04-08,Dwarka,4084
2023-04-08,Ambaji,3328
2023-04-08,Pavagadh,2366
2023-04-09,Somnath,7526
2023-04-09,Dwarka,4815
2023-04-09,Ambaji,3747
2023-04-09,Pavagadh,2805
2023-04-10,Somnath,4299
2023-04-10,Dwarka,2623
2023-04-10,Ambaji,2174
2023-04-10,Pavagadh,1548
2023-04-11,Somnath,4851
2023-04-11,Dwarka,3146
2023-04-11,Ambaji,2640
2023-04-11,Pavagadh,2287
2023-04-12,Somnath,4326
2023-04-12,Dwarka,2332
2023-04-12,Ambaji,1941
2023-04-12,Pavagadh,1609
2023-04-13,Somnath,3985
2023-04-13,Dwarka,2686
2023-04-13,Ambaji,2222
2023-04-13,Pavagadh,1264
2023-04-14,Somnath,4491
2023-04-14,Dwarka,2606
2023-04-14,Ambaji,1954
2023-04-14,Pavagadh,1530
2023-04-15,Somnath,6028
2023-04-15,Dwarka,3947
2023-04-15,Ambaji,3052
2023-04-15,Pavagadh,2128
2023-04-16,Somnath,6153
2023-04-16,Dwarka,3858
2023-04-16,Ambaji,3556
2023-04-16,Pavagadh,2244
2023-04-17,Somnath,4875
2023-04-17,Dwarka,2905
2023-04-17,Ambaji,2347
2023-04-17,Pavagadh,1587
2023-04-18,Somnath,4687
2023-04-18,Dwarka,3266
2023-04-18,Ambaji,2063
2023-04-18,Pavagadh,1786
2023-04-19,Somnath,4452
2023-04-19,Dwarka,2875
2023-04-19,Ambaji,2306
2023-04-19,Pavagadh,1638
2023-04-20,Somnath,4655
2023-04-20,Dwarka,3036
2023-04-20,Ambaji,2557
2023-04-20,Pavagadh,1854
2023-04-21,Somnath,5528
2023-04-21,Dwarka,3500
2023-04-21,Ambaji,2649
2023-04-21,Pavagadh,1788
2023-04-22,Somnath,6057
2023-04-22,Dwarka,3635
2023-04-22,Ambaji,2899
2023-04-22,Pavagadh,2567
2023-04-23,Somnath,6755
2023-04-23,Dwarka,4366
2023-04-23,Ambaji,3675
2023-04-23,Pavagadh,3142
2023-04-24,Somnath,4818
2023-04-24,Dwarka,3085
2023-04-24,Ambaji,2525
2023-04-24,Pavagadh,1846
2023-04-25,Somnath,5451
2023-04-25,Dwarka,3438
2023-04-25,Ambaji,2682
2023-04-25,Pavagadh,2395
2023-04-26,Somnath,4987
2023-04-26,Dwarka,3467
2023-04-26,Ambaji,2629
2023-04-26,Pavagadh,1764
2023-04-27,Somnath,5106
2023-04-27,Dwarka,3008
2023-04-27,Ambaji,2651
2023-04-27,Pavagadh,2188
2023-04-28,Somnath,5143
2023-04-28,Dwarka,3382
2023-04-28,Ambaji,2572
2023-04-28,Pavagadh,2110
2023-04-29,Somnath,6172
2023-04-29,Dwarka,3611
2023-04-29,Ambaji,3001
2023-04-29,Pavagadh,2521
2023-04-30,Somnath,6497
2023-04-30,Dwarka,4101
2023-04-30,Ambaji,3371
2023-04-30,Pavagadh,1994
2023-05-01,Somnath,5193
2023-05-01,Dwarka,3315
2023-05-01,Ambaji,3113
2023-05-01,Pavagadh,2169
2023-05-02,Somnath,5119
2023-05-02,Dwarka,3171
2023-05-02,Ambaji,2581
2023-05-02,Pavagadh,2183
2023-05-03,Somnath,4725
2023-05-03,Dwarka,2907
2023-05-03,Ambaji,2495
2023-05-03,Pavagadh,1629
2023-05-04,Somnath,5270
2023-05-04,Dwarka,2895
2023-05-04,Ambaji,2493
2023-05-04,Pavagadh,1748
2023-05-05,Somnath,4396
2023-05-05,Dwarka,2907
2023-05-05,Ambaji,1984
2023-05-05,Pavagadh,1389
2023-05-06,Somnath,7354
2023-05-06,Dwarka,4931
2023-05-06,Ambaji,4212
2023-05-06,Pavagadh,2819
2023-05-07,Somnath,7416
2023-05-07,Dwarka,4507
2023-05-07,Ambaji,3599
2023-05-07,Pavagadh,2685
2023-05-08,Somnath,4604
2023-05-08,Dwarka,3101
2023-05-08,Ambaji,2637
2023-05-08,Pavagadh,1903
2023-05-09,Somnath,5618
2023-05-09,Dwarka,3746
2023-05-09,Ambaji,2389
2023-05-09,Pavagadh,2188
2023-05-10,Somnath,4842
2023-05-10,Dwarka,3083
2023-05-10,Ambaji,2066
2023-05-10,Pavagadh,1801
2023-05-11,Somnath,5746
2023-05-11,Dwarka,3554
2023-05-11,Ambaji,2897
2023-05-11,Pavagadh,2254
2023-05-12,Somnath,4979
2023-05-12,Dwarka,3462
2023-05-12,Ambaji,2742
2023-05-12,Pavagadh,1917
2023-05-13,Somnath,7001
2023-05-13,Dwarka,4424
2023-05-13,Ambaji,3374
2023-05-13,Pavagadh,2353
2023-05-14,Somnath,6962
2023-05-14,Dwarka,4390
2023-05-14,Ambaji,3534
2023-05-14,Pavagadh,2550
2023-05-15,Somnath,4099
2023-05-15,Dwarka,2716
2023-05-15,Ambaji,2229
2023-05-15,Pavagadh,1790
2023-05-16,Somnath,4423
2023-05-16,Dwarka,2753
2023-05-16,Ambaji,1890
2023-05-16,Pavagadh,1342
2023-05-17,Somnath,3752
2023-05-17,Dwarka,2241
2023-05-17,Ambaji,2136
2023-05-17,Pavagadh,1345
2023-05-18,Somnath,3751
2023-05-18,Dwarka,2737
2023-05-18,Ambaji,1374
2023-05-18,Pavagadh,1299
2023-05-19,Somnath,5646
2023-05-19,Dwarka,3313
2023-05-19,Ambaji,2582
2023-05-19,Pavagadh,2121
2023-05-20,Somnath,6735
2023-05-20,Dwarka,4351
2023-05-20,Ambaji,3930
2023-05-20,Pavagadh,2649
2023-05-21,Somnath,5373
2023-05-21,Dwarka,3466
2023-05-21,Ambaji,2865
2023-05-21,Pavagadh,2087
2023-05-22,Somnath,4911
2023-05-22,Dwarka,3025
2023-05-22,Ambaji,2491
2023-05-22,Pavagadh,1885
2023-05-23,Somnath,3956
2023-05-23,Dwarka,2841
2023-05-23,Ambaji,1867
2023-05-23,Pavagadh,1706
2023-05-24,Somnath,4841
2023-05-24,Dwarka,3089
2023-05-24,Ambaji,2427
2023-05-24,Pavagadh,1601
2023-05-25,Somnath,4855
2023-05-25,Dwarka,2746
2023-05-25,Ambaji,2591
2023-05-25,Pavagadh,1673
2023-05-26,Somnath,4645
2023-05-26,Dwarka,2588
2023-05-26,Ambaji,2370
2023-05-26,Pavagadh,1301
2023-05-27,Somnath,6665
2023-05-27,Dwarka,3906
2023-05-27,Ambaji,3259
2023-05-27,Pavagadh,2864
2023-05-28,Somnath,6284
2023-05-28,Dwarka,3803
2023-05-28,Ambaji,2978
2023-05-28,Pavagadh,2442
2023-05-29,Somnath,5199
2023-05-29,Dwarka,3324
2023-05-29,Ambaji,2480
2023-05-29,Pavagadh,2043
2023-05-30,Somnath,4386
2023-05-30,Dwarka,2835
2023-05-30,Ambaji,1906
2023-05-30,Pavagadh,1483
2023-05-31,Somnath,4643
2023-05-31,Dwarka,3155
2023-05-31,Ambaji,2389
2023-05-31,Pavagadh,2186
2023-06-01,Somnath,5148
2023-06-01,Dwarka,3278
2023-06-01,Ambaji,2572
2023-06-01,Pavagadh,2073
2023-06-02,Somnath,4510
2023-06-02,Dwarka,2866
2023-06-02,Ambaji,2199
2023-06-02,Pavagadh,1196
2023-06-03,Somnath,6860
2023-06-03,Dwarka,4183
2023-06-03,Ambaji,3446
2023-06-03,Pavagadh,2447
2023-06-04,Somnath,6959
2023-06-04,Dwarka,4285
2023-06-04,Ambaji,3418
2023-06-04,Pavagadh,2312
2023-06-05,Somnath,5107
2023-06-05,Dwarka,3338
2023-06-05,Ambaji,2691
2023-06-05,Pavagadh,1960
2023-06-06,Somnath,5840
2023-06-06,Dwarka,3305
2023-06-06,Ambaji,2873
2023-06-06,Pavagadh,2309
2023-06-07,Somnath,4774
2023-06-07,Dwarka,2551
2023-06-07,Ambaji,2483
2023-06-07,Pavagadh,1743
2023-06-08,Somnath,4951
2023-06-08,Dwarka,3281
2023-06-08,Ambaji,2330
2023-06-08,Pavagadh,2075
2023-06-09,Somnath,4117
2023-06-09,Dwarka,3088
2023-06-09,Ambaji,2764
2023-06-09,Pavagadh,1769
2023-06-10,Somnath,5985
2023-06-10,Dwarka,3988
2023-06-10,Ambaji,3270
2023-06-10,Pavagadh,2507
2023-06-11,Somnath,7371
2023-06-11,Dwarka,4009
2023-06-11,Ambaji,3412
2023-06-11,Pavagadh,2807
2023-06-12,Somnath,4502
2023-06-12,Dwarka,2843
2023-06-12,Ambaji,2385
2023-06-12,Pavagadh,1640
2023-06-13,Somnath,4568
2023-06-13,Dwarka,3035
2023-06-13,Ambaji,1996
2023-06-13,Pavagadh,1922
2023-06-14,Somnath,5278
2023-06-14,Dwarka,3222
2023-06-14,Ambaji,2568
2023-06-14,Pavagadh,2097
2023-06-15,Somnath,5290
2023-06-15,Dwarka,3288
2023-06-15,Ambaji,2600
2023-06-15,Pavagadh,1886
2023-06-16,Somnath,4056
2023-06-16,Dwarka,2882
2023-06-16,Ambaji,1987
2023-06-16,Pavagadh,1424
2023-06-17,Somnath,7066
2023-06-17,Dwarka,4120
2023-06-17,Ambaji,3391
2023-06-17,Pavagadh,3046
2023-06-18,Somnath,6001
2023-06-18,Dwarka,3769
2023-06-18,Ambaji,3129
2023-06-18,Pavagadh,2023
2023-06-19,Somnath,4781
2023-06-19,Dwarka,2870
2023-06-19,Ambaji,2121
2023-06-19,Pavagadh,1773
2023-06-20,Somnath,5023
2023-06-20,Dwarka,3345
2023-06-20,Ambaji,2871
2023-06-20,Pavagadh,1904
2023-06-21,Somnath,5096
2023-06-21,Dwarka,2860
2023-06-21,Ambaji,2625
2023-06-21,Pavagadh,1538
2023-06-22,Somnath,4889
2023-06-22,Dwarka,3089
2023-06-22,Ambaji,2163
2023-06-22,Pavagadh,2021
2023-06-23,Somnath,4181
2023-06-23,Dwarka,2652
2023-06-23,Ambaji,2201
2023-06-23,Pavagadh,1432
2023-06-24,Somnath,7009
2023-06-24,Dwarka,4159
2023-06-24,Ambaji,3298
2023-06-24,Pavagadh,2547
2023-06-25,Somnath,6625
2023-06-25,Dwarka,4281
2023-06-25,Ambaji,3052
2023-06-25,Pavagadh,2488
2023-06-26,Somnath,4982
2023-06-26,Dwarka,2947
2023-06-26,Ambaji,2851
2023-06-26,Pavagadh,1982
2023-06-27,Somnath,4487
2023-06-27,Dwarka,2485
2023-06-27,Ambaji,2637
2023-06-27,Pavagadh,1960
2023-06-28,Somnath,5768
2023-06-28,Dwarka,3917
2023-06-28,Ambaji,2912
2023-06-28,Pavagadh,2527
2023-06-29,Somnath,5315
2023-06-29,Dwarka,3451
2023-06-29,Ambaji,2943
2023-06-29,Pavagadh,1479
2023-06-30,Somnath,4821
2023-06-30,Dwarka,3050
2023-06-30,Ambaji,2664
2023-06-30,Pavagadh,1865
2023-07-01,Somnath,3858
2023-07-01,Dwarka,2852
2023-07-01,Ambaji,1857
2023-07-01,Pavagadh,1574
2023-07-02,Somnath,4583
2023-07-02,Dwarka,2569
2023-07-02,Ambaji,2124
2023-07-02,Pavagadh,1404
2023-07-03,Somnath,2642
2023-07-03,Dwarka,1793
2023-07-03,Ambaji,1423
2023-07-03,Pavagadh,1330
2023-07-04,Somnath,2765
2023-07-04,Dwarka,1605
2023-07-04,Ambaji,1397
2023-07-04,Pavagadh,758
2023-07-05,Somnath,2505
2023-07-05,Dwarka,1611
2023-07-05,Ambaji,1278
2023-07-05,Pavagadh,1120
2023-07-06,Somnath,2496
2023-07-06,Dwarka,2229
2023-07-06,Ambaji,1526
2023-07-06,Pavagadh,1343
2023-07-07,Somnath,2978
2023-07-07,Dwarka,2029
2023-07-07,Ambaji,1639
2023-07-07,Pavagadh,1604
2023-07-08,Somnath,4372
2023-07-08,Dwarka,2604
2023-07-08,Ambaji,2351
2023-07-08,Pavagadh,1464
2023-07-09,Somnath,4099
2023-07-09,Dwarka,2574
2023-07-09,Ambaji,1967
2023-07-09,Pavagadh,1474
2023-07-10,Somnath,2649
2023-07-10,Dwarka,1881
2023-07-10,Ambaji,1792
2023-07-10,Pavagadh,1414
2023-07-11,Somnath,3512
2023-07-11,Dwarka,1983
2023-07-11,Ambaji,1669
2023-07-11,Pavagadh,1451
2023-07-12,Somnath,3004
2023-07-12,Dwarka,2347
2023-07-12,Ambaji,1853
2023-07-12,Pavagadh,1071
2023-07-13,Somnath,2578
2023-07-13,Dwarka,1752
2023-07-13,Ambaji,1170
2023-07-13,Pavagadh,1169
2023-07-14,Somnath,2769
2023-07-14,Dwarka,1690
2023-07-14,Ambaji,1435
2023-07-14,Pavagadh,1175
2023-07-15,Somnath,4061
2023-07-15,Dwarka,2738
2023-07-15,Ambaji,1584
2023-07-15,Pavagadh,1493
2023-07-16,Somnath,3404
2023-07-16,Dwarka,2271
2023-07-16,Ambaji,1719
2023-07-16,Pavagadh,1250
2023-07-17,Somnath,2485
2023-07-17,Dwarka,1530
2023-07-17,Ambaji,1067
2023-07-17,Pavagadh,957
2023-07-18,Somnath,3069
2023-07-18,Dwarka,2083
2023-07-18,Ambaji,1822
2023-07-18,Pavagadh,1548
2023-07-19,Somnath,2908
2023-07-19,Dwarka,2018
2023-07-19,Ambaji,1922
2023-07-19,Pavagadh,956
2023-07-20,Somnath,3169
2023-07-20,Dwarka,1885
2023-07-20,Ambaji,1331
2023-07-20,Pavagadh,907
2023-07-21,Somnath,3252
2023-07-21,Dwarka,1916
2023-07-21,Ambaji,1227
2023-07-21,Pavagadh,1240
2023-07-22,Somnath,4024
2023-07-22,Dwarka,2575
2023-07-22,Ambaji,2059
2023-07-22,Pavagadh,1148
2023-07-23,Somnath,4625
2023-07-23,Dwarka,2702
2023-07-23,Ambaji,2409
2023-07-23,Pavagadh,1512
2023-07-24,Somnath,2566
2023-07-24,Dwarka,1950
2023-07-24,Ambaji,1433
2023-07-24,Pavagadh,1320
2023-07-25,Somnath,2955
2023-07-25,Dwarka,1783
2023-07-25,Ambaji,1494
2023-07-25,Pavagadh,1385
2023-07-26,Somnath,2762
2023-07-26,Dwarka,1888
2023-07-26,Ambaji,897
2023-07-26,Pavagadh,1071
2023-07-27,Somnath,3187
2023-07-27,Dwarka,2324
2023-07-27,Ambaji,1766
2023-07-27,Pavagadh,1767
2023-07-28,Somnath,3084
2023-07-28,Dwarka,1622
2023-07-28,Ambaji,1364
2023-07-28,Pavagadh,794
2023-07-29,Somnath,4684
2023-07-29,Dwarka,2338
2023-07-29,Ambaji,1845
2023-07-29,Pavagadh,2071
2023-07-30,Somnath,4143
2023-07-30,Dwarka,1886
2023-07-30,Ambaji,1769
2023-07-30,Pavagadh,1055
2023-07-31,Somnath,3176
2023-07-31,Dwarka,2159
2023-07-31,Ambaji,1676
2023-07-31,Pavagadh,1180
2023-08-01,Somnath,2859
2023-08-01,Dwarka,2056
2023-08-01,Ambaji,1193
2023-08-01,Pavagadh,983
2023-08-02,Somnath,3396
2023-08-02,Dwarka,2250
2023-08-02,Ambaji,1901
2023-08-02,Pavagadh,1219
2023-08-03,Somnath,2614
2023-08-03,Dwarka,1452
2023-08-03,Ambaji,1137
2023-08-03,Pavagadh,1045
2023-08-04,Somnath,2648
2023-08-04,Dwarka,1642
2023-08-04,Ambaji,1543
2023-08-04,Pavagadh,1288
2023-08-05,Somnath,4459
2023-08-05,Dwarka,2807
2023-08-05,Ambaji,2455
2023-08-05,Pavagadh,1980
2023-08-06,Somnath,3774
2023-08-06,Dwarka,2587
2023-08-06,Ambaji,1722
2023-08-06,Pavagadh,1450
2023-08-07,Somnath,2963
2023-08-07,Dwarka,1903
